Name or Synonym,RID,Parent RID
Radlex ontology entity,RID0,:THING
RadLex entity,RID1,RID0
image quality,RID10,RID35977
imaging modality,RID10311,RID1
magnetic resonance imaging,RID10312,RID10311
magnetic resonance spectroscopy,RID10315,RID10311
functional magnetic resonance imaging,RID10317,RID10312
magnetic resonance angiography,RID10319,RID10312
computed tomography,RID10321,RID28840
quantitative computed tomography,RID10323,RID10321
ultrasound,RID10326,RID10311
nuclear medicine imaging,RID10330,RID10311
single photon imaging,RID10332,RID10330
planar nuclear medicine imaging,RID10333,RID10332
single photon emission computed tomography,RID10334,RID10332
bremsstrahlung imaging,RID10336,RID10330
positron emission tomography,RID10337,RID10330
projection radiography,RID10345,RID10311
computed radiography,RID10349,RID10345
digital radiography,RID10351,RID10345
screen-film radiography,RID10353,RID10345
dual-energy subtraction radiography,RID10356,RID10345
mammography,RID10357,RID10345
conventional tomography,RID10358,RID28840
tomosynthesis,RID10359,RID10358
panographic radiograph,RID10360,RID10311
fluoroscopy,RID10361,RID10311
dual energy xray absorptiometry,RID10363,RID10311
catheter angiography,RID10365,RID10371
interventional radiology procedure,RID10367,RID8
modality descriptor,RID10370,RID6
angiography,RID10371,RID13060
arthrography,RID10373,RID13060
diffusion,RID10374,RID13060
Doppler,RID10375,RID10370
perfusion imaging,RID10376,RID13060
spectroscopy,RID10377,RID10311
functional,RID10378,RID10370
venography,RID10379,RID10371
myelography,RID10380,RID13060
intervention,RID10381,RID10370
orderable technique,RID10382,RID7480
portable,RID10383,RID10382
dynamic,RID10385,RID10382
limited evaluation,RID10386,RID10382
complete evaluation,RID10387,RID10382
orderable priority,RID10388,RID7480
stat blue,RID10389,RID10388
stat,RID10390,RID10388
urgent,RID10391,RID10388
routine,RID10392,RID10388
imaging purpose,RID10393,RID35976
diagnosis,RID10394,RID35977
marking for intervention,RID10395,RID1559
ablation,RID10397,RID8
aspiration of bodily substance,RID10398,RID49838
dilation of structure,RID10399,RID10367
balloon dilation of structure,RID10400,RID10399
atherectomy,RID10401,RID1561
stent placement,RID10402,RID28707
thrombolysis,RID10403,RID49591
embolization,RID10404,RID8
temporary occlusion,RID10405,RID10367
infusion,RID10406,RID1559
repair,RID10407,RID8
object retrieval,RID10408,RID1560
measurement type,RID10409,RID35977
narrow,RID10410,RID29057
thrombectomy,RID10412,RID49591
device manipulation,RID10413,RID1559
device removal,RID10415,RID10413
shunt creation,RID10416,RID1559
drainage,RID10417,RID1559
direct injection,RID10418,RID28842
brachytherapy,RID10419,RID8
patient position,RID10420,RID35977
supine position,RID10421,RID10420
prone position,RID10422,RID10420
decubitus position,RID10423,RID10420
right lateral decubitus position,RID10424,RID10423
left lateral decubitus position,RID10425,RID10423
dorsal decubitus position,RID10426,RID10423
extension position,RID10427,RID10420
hyperextension position,RID10428,RID10427
flexion position,RID10429,RID10420
hyperflexion position,RID10430,RID10429
partial flexion position,RID10431,RID10429
patient rotation position,RID10432,RID10420
external rotation position,RID10433,RID10432
internal rotation position,RID10434,RID10432
lateral rotation position,RID10435,RID10432
medial rotation position,RID10436,RID10432
lateral supine position,RID10438,RID10420
lateral decubitus position,RID10439,RID10423
oblique position,RID10440,RID10420
left anterior oblique position,RID10441,RID10440
left posterior oblique position,RID10442,RID10440
right anterior oblique position,RID10443,RID10440
right posterior oblique position,RID10444,RID10440
deviation position,RID10445,RID10420
radial deviation position,RID10446,RID10445
ulnar deviation position,RID10447,RID10445
bending position,RID10448,RID10420
lordotic position,RID10449,RID10420
neutral position,RID10450,RID10420
open mouth position,RID10451,RID10420
sitting position,RID10452,RID10420
standing position,RID10453,RID10420
upright position,RID10455,RID10420
shoulder extension,RID10457,RID10420
ventral position,RID10459,RID10420
held position,RID10460,RID10420
patient orientation,RID10461,RID7480
head first orientation,RID10462,RID10461
feet first orientation,RID10463,RID10461
patient maneuver,RID10464,RID35977
augmentation maneuver,RID10465,RID10464
compression of tissue,RID10466,RID10464
exhalation maneuver,RID10467,RID10494
inspiration maneuver,RID10468,RID10494
temporal tap,RID10469,RID10464
Valsalva maneuver,RID10470,RID10464
straining maneuver,RID10471,RID10464
musculoskeletal stress maneuver,RID10472,RID10476
Mueller maneuver,RID10473,RID10464
